model,dataset,src_layer,tgt_layer,sdc_group,mean_cos_sim,sample_count,finite_step_count
LLaVA-1.5-7B,EarthVQA,15,16,significant_sdc,0.37562154143638077,303,10434
LLaVA-1.5-7B,EarthVQA,16,17,non_sdc,0.9546959185977685,4843,21058
LLaVA-1.5-7B,EarthVQA,16,17,non_significant_sdc,0.9030019563396671,494,4054
LLaVA-1.5-7B,EarthVQA,16,17,significant_sdc,0.4737932385252353,294,9993
LLaVA-1.5-7B,EarthVQA,17,18,non_sdc,0.9698352080973534,4843,21058
LLaVA-1.5-7B,EarthVQA,17,18,non_significant_sdc,0.9239942826018704,494,4054
LLaVA-1.5-7B,EarthVQA,17,18,significant_sdc,0.5810038542777561,285,9552
LLaVA-1.5-7B,EarthVQA,18,19,non_sdc,0.9587873518510824,4843,21058
LLaVA-1.5-7B,EarthVQA,18,19,non_significant_sdc,0.904433401843326,494,4054
LLaVA-1.5-7B,EarthVQA,18,19,significant_sdc,0.5517638392126575,273,8964
LLaVA-1.5-7B,EarthVQA,19,20,non_sdc,0.9625554917641278,4843,21058
LLaVA-1.5-7B,EarthVQA,19,20,non_significant_sdc,0.921373961584105,494,4054
LLaVA-1.5-7B,EarthVQA,19,20,significant_sdc,0.6567149593690758,266,8621
LLaVA-1.5-7B,EarthVQA,20,21,non_sdc,0.95117510142947,4843,21058
LLaVA-1.5-7B,EarthVQA,20,21,non_significant_sdc,0.8950639967319894,494,4054
LLaVA-1.5-7B,EarthVQA,20,21,significant_sdc,0.4948789082098715,257,8180
LLaVA-1.5-7B,EarthVQA,21,22,non_sdc,0.9601925714661216,4843,21058
LLaVA-1.5-7B,EarthVQA,21,22,non_significant_sdc,0.9040204309444291,494,4054
LLaVA-1.5-7B,EarthVQA,21,22,significant_sdc,0.6309355425899658,244,7543
LLaVA-1.5-7B,EarthVQA,22,23,non_sdc,0.9627615084263423,4843,21058
LLaVA-1.5-7B,EarthVQA,22,23,non_significant_sdc,0.8916029900346011,494,4054
LLaVA-1.5-7B,EarthVQA,22,23,significant_sdc,0.6484234679788552,232,6955
LLaVA-1.5-7B,EarthVQA,23,24,non_sdc,0.9483378334718423,4843,21058
LLaVA-1.5-7B,EarthVQA,23,24,non_significant_sdc,0.9000783543452064,494,4054
LLaVA-1.5-7B,EarthVQA,23,24,significant_sdc,0.7081474649201772,226,6661
LLaVA-1.5-7B,EarthVQA,24,25,non_sdc,0.9484327266577326,4843,21058
LLaVA-1.5-7B,EarthVQA,24,25,non_significant_sdc,0.8609911548347939,494,4054
LLaVA-1.5-7B,EarthVQA,24,25,significant_sdc,0.42966052373921565,212,5975
LLaVA-1.5-7B,EarthVQA,25,26,non_sdc,0.9516825977271822,4843,21058
LLaVA-1.5-7B,EarthVQA,25,26,non_significant_sdc,0.8988273696744948,494,4054
LLaVA-1.5-7B,EarthVQA,25,26,significant_sdc,0.6596589527384932,193,5044
LLaVA-1.5-7B,EarthVQA,26,27,non_sdc,0.9720733462677058,4843,21058
LLaVA-1.5-7B,EarthVQA,26,27,non_significant_sdc,0.9061497085695495,494,4054
LLaVA-1.5-7B,EarthVQA,26,27,significant_sdc,0.7272383215923471,184,4603
LLaVA-1.5-7B,EarthVQA,27,28,non_sdc,0.9636995282939962,4843,21058
LLaVA-1.5-7B,EarthVQA,27,28,non_significant_sdc,0.8940062107952056,494,4054
LLaVA-1.5-7B,EarthVQA,27,28,significant_sdc,0.7078213806109164,168,3819
LLaVA-1.5-7B,EarthVQA,28,29,non_sdc,0.9576867756849535,4843,21058
LLaVA-1.5-7B,EarthVQA,28,29,non_significant_sdc,0.8784090863948592,494,4054
LLaVA-1.5-7B,EarthVQA,28,29,significant_sdc,0.6749535595660483,159,3378
LLaVA-1.5-7B,EarthVQA,29,30,non_sdc,0.9677142549606357,4843,21058
LLaVA-1.5-7B,EarthVQA,29,30,non_significant_sdc,0.8789851425673044,494,4054
LLaVA-1.5-7B,EarthVQA,29,30,significant_sdc,0.6808320672334323,147,2790
LLaVA-1.5-7B,EarthVQA,30,31,non_sdc,0.9777480613618701,4843,21058
LLaVA-1.5-7B,EarthVQA,30,31,non_significant_sdc,0.9198873206948484,494,4054
LLaVA-1.5-7B,EarthVQA,30,31,significant_sdc,0.7681188060298161,111,1026
